Subject ,Start Date,Start Time,End Date,End Time,All Day Event ,Description,Location,Private
DAA,29-05-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Internet of Things,29-05-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FLAT,29-05-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Internet and Web Programming,29-05-2020,12:00 PM,,1:00 PM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CONA,30-05-2020,9:00 AM,,10:00 AM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FLAT,30-05-2020,10:00 AM,,11:00 AM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CONA,30-05-2020,11:00 AM,,12:00 PM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Internet of Things,30-05-2020,12:00 PM,,1:00 PM,FALSE,Online class,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
